city,band,mean_light,sum_pop_light,sum_pop,pw_mean
娄底市,1,3.7725533752931013,992921,30569,32.48130458961693
岳阳市,1,3.876440072761571,1700240,57538,29.54986269943342
常德市,1,3.2603553550800375,1948750,59270,32.87919689556268
张家界市,1,1.7795952605641188,572528,16972,33.73367900070705
怀化市,1,1.263682493657122,944791,34865,27.09855155600172
株洲市,1,3.875133309633843,1618287,43603,37.11412058803293
永州市,1,2.1045607728600313,1377137,46837,29.40275850289301
湘潭市,1,7.210484193677471,1443038,36038,40.04212220433986
湘西土家族苗族自治州,1,1.4623885226832105,668709,22629,29.550974413363384
益阳市,1,2.447951318458418,773349,30171,25.632196480063637
衡阳市,1,3.2284724944466223,1581675,49415,32.007993524233534
邵阳市,1,1.7980191355353623,1156385,37397,30.921865390271947
郴州市,1,2.0622608335918917,1024372,39880,25.686359077231696
长沙市,1,11.60889414947582,6175512,137310,44.97496176534848
